date,vw_index
20110328,4165.33
20110329,4192.47
20110330,4228.118
20110331,4222.113
20110401,4248.164
20110404,4254.183
20110405,4260.135
20110406,4265.64
20110407,4254.986
20110408,4241.758
20110411,4221.495
20110412,4183.04
20110413,4182.654
20110414,4185.001
20110415,4204.729
20110418,4154.706
20110419,4181.114
20110420,4231.965
20110421,4255.187
20110425,4243.033
20110426,4279.566
20110427,4303.232
20110428,4318.841
20110429,4335.245
20110502,4321.222
20110503,4294.313
20110504,4256.798
20110505,4212.946
20110506,4231.965
20110509,4258.052
20110510,4292.174
20110511,4237.267
20110512,4252.224
20110513,4217.888
20110516,4199.744
20110517,4195.708
20110518,4239.479
20110519,4249.856
20110520,4220.359
20110523,4168.229
20110524,4170.446
20110525,4190.414
20110526,4209.43
20110527,4231.132
20110531,4270.212
20110601,4170.159
20110602,4165.4
20110603,4131.856
20110606,4077.552
20110607,4078.44
20110608,4058.142
20110609,4093.413
20110610,4036.819
20110613,4034.97
20110614,4090.533
20110615,4019.227
20110616,4022.224
20110617,4036.485
20110620,4059.087
20110621,4117.869
20110622,4095.958
20110623,4075.789
20110624,4034.343
20110627,4062.127
20110628,4116.396
20110629,4158.315
20110630,4196.778
20110701,4253.125
20110705,4247.298
20110706,4249.831
20110707,4291.748
20110708,4261.811
20110711,4179.014
20110712,4166.419
20110713,4185.533
20110714,4156.956
20110715,4178.17
20110718,4136.734
20110719,4198.653
20110720,4203.501
20110721,4261.992
20110722,4259.304
20110725,4230.819
20110726,4206.568
20110727,4120.443
20110728,4103.904
20110729,4077.629
20110801,4062.714
20110802,3956.719
20110803,3972.181
20110804,3770.671
20110805,3757.757
20110808,3493.476
20110809,3674.855
20110810,3530.836
20110811,3693.921
20110812,3710.84
20110815,3801.006
20110816,3758.917
20110817,3767.611
20110818,3599.365
20110819,3542.902
20110822,3540.146
20110823,3656.015
20110824,3704.605
20110825,3647.551
20110826,3699.085
20110829,3808.179
20110830,3820.012
20110831,3843.395
20110901,3796.555
20110902,3700.067
20110906,3663.738
20110907,3772.855
20110908,3727.368
20110909,3623.413
20110912,3632.814
20110913,3668.25
20110914,3713.9
20110915,3775.812
20110916,3786.403
20110919,3737.201
20110920,3725.324
20110921,3603.289
20110922,3476.44
20110923,3493.631
20110926,3580.643
20110927,3627.507
20110928,3538.74
20110929,3580.86
20110930,3493.35
20111003,3380.21
20111004,3457.434
20111005,3522.852
20111006,3598.024
20111007,3558.017
20111010,3680.96
20111011,3679.117
20111012,3726.673
20111013,3705.709
20111014,3771.828
20111017,3691.034
20111018,3773.805
20111019,3727.091
20111020,3749.857
20111021,3827.789
20111024,3884.489
20111025,3807.623
20111026,3860.18
20111027,4005.094
20111028,4007.434
20111031,3901.472
20111101,3787.066
20111102,3857.755
20111103,3929.761
20111104,3906.147
20111107,3926.41
20111108,3970.718
20111109,3819.678
20111110,3856.028
20111111,3932.321
20111114,3893.945
20111115,3903.74
20111116,3846.493
20111117,3782.716
20111118,3787.281
20111121,3716.527
20111122,3697.462
20111123,3611.426
20111125,3602.716
20111128,3708.915
20111129,3725.275
20111130,3893.602
20111201,3880.176
20111202,3880.326
20111205,3920.435
20111206,3925.379
20111207,3934.654
20111208,3840.874
20111209,3908.156
20111212,3845.36
20111213,3803.392
20111214,3758.377
20111215,3776.323
20111216,3794.031
20111219,3745.396
20111220,3857.513
20111221,3878.494
20111222,3914.947
20111223,3947.222
20111227,3944.957
20111228,3890.896
20111229,3935.003
20111230,3924.789
20120103,3988.103
20120104,3985.327
20120105,3991.362
20120106,3974.29
20120109,3987.802
20120110,4030.492
20120111,4031.895
20120112,4041.881
20120113,4020.113
20120117,4032.177
20120118,4078.098
20120119,4099.976
20120120,4105.158
20120123,4114.351
20120124,4109.238
20120125,4147.026
20120126,4124.707
20120127,4122.732
20120130,4105.049
20120131,4102.487
20120201,4147.633
20120202,4152.194
20120203,4213.494
20120206,4209.887
